team,Cols
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
Everton vs. Manchester Blue,0:1|0:2|1:3
Chelsea vs. Wolverhampton,1:0|0:0|2:0
London Guns vs. Liverpool,1:0|2:0|3:0
West Ham vs. Southampton,1:0|2:0|2:0
Newcastle vs. Leicester,1:0|3:0|3:1
Manchester Reds vs. Burnley,0:0|0:0|0:0
Tottenham vs. Watford,1:0|1:0|2:0
Bournemouth vs. Crystal Palace,1:0|2:0|3:0
